,r,rho,vp,vs,vphi,K,G
216,1574230.7207769398,6912.201134579525,4736.372822315831,0.0,0.0,155093858884.46356,0.0005138024427286554
217,1581540.9217787534,6905.369597539344,4728.988759581095,0.0,0.0,154410986569.5558,0.0005538337583616536
218,1588851.122780567,6898.538060499163,4721.60469684636,0.0,0.0,153726412961.02747,0.0005938650739946517
219,1596161.3237823807,6891.502595020228,4714.006129925492,0.0,0.0,153040161424.2682,0.0006338963896276498
220,1603471.5247841943,6883.538665649692,4705.430948891172,0.0,0.0,152352265547.7712,0.0006739277052606479
221,1610781.725786008,6875.574736279157,4696.855767856851,0.0,0.0,151662754887.94153,0.0007139590208936461
222,1618091.9267878216,6867.610806908622,4688.280586822531,0.0,0.0,150971659066.10706,0.0007539903365266443
223,1625402.1277896352,6859.646877538086,4679.7054057882115,0.0,0.0,150279008325.41107,0.0007940216521596424
224,1632712.3287914488,6851.68294816755,4671.130224753891,0.0,0.0,149584833480.84552,0.0008340529677926404
225,1640022.5297932625,6843.7190187970145,4662.555043719571,0.0,0.0,148889165859.14835,0.0008740842834256384
226,1647332.7307950761,6835.755089426479,4653.97986268525,0.0,0.0,148192036863.87155,0.0009141155990586367
227,1654642.9317968898,6827.791160055944,4645.40468165093,0.0,0.0,147493474960.26163,0.0009541469146916348
228,1661953.1327987032,6819.827230685409,4636.82950061661,0.0,0.0,146793516367.08224,0.0009941782303246316
229,1669263.3338005168,6811.863301314872,4628.254319582289,0.0,0.0,146092190064.87177,0.00103420954595763
230,1676573.5348023304,6803.899371944337,4619.679138547968,0.0,0.0,145389531007.30447,0.0010742408615906278
231,1683883.735804144,6795.935442573802,4611.103957513649,0.0,0.0,144685568320.2506,0.001114272177223626
232,1691193.9368059577,6787.971513203265,4602.528776479328,0.0,0.0,143980337969.93167,0.0011543034928566242
233,1698504.1378077713,6780.00758383273,4593.953595445008,0.0,0.0,143273946370.14474,0.0011943348084896225
234,1705814.3388095847,6772.043654462195,4585.3784144106885,0.0,0.0,142566278314.08344,0.001234366124122619
235,1713124.5398113984,6764.079725091659,4576.803233376368,0.0,0.0,141857441764.0124,0.0012743974397556174
236,1720434.740813212,6756.115795721124,4568.228052342048,0.0,0.0,141147470815.41107,0.0013144287553886155
237,1727744.9418150256,6748.1518663505885,4559.652871307728,0.0,0.0,140436402527.27957,0.0013544600710216135
238,1735055.1428168393,6740.187936980054,4551.077690273408,0.0,0.0,139724278495.44324,0.0013944913866546116
239,1742365.343818653,6732.224007609518,4542.502509239087,0.0,0.0,139011126271.02002,0.00143452270228761
240,1749675.5448204665,6724.260078238982,4533.927328204767,0.0,0.0,138296978995.71008,0.0014745540179206078
241,1756985.7458222802,6716.296148868446,4525.352147170446,0.0,0.0,137581874985.10223,0.001514585333553606
242,1764295.9468240938,6708.332219497911,4516.776966136125,0.0,0.0,136865848178.63101,0.001554616649186604
243,1771606.1478259075,6699.805846068349,4507.6288888612335,0.0,0.0,136148936576.62541,0.00033427202373883277
244,1778916.348827721,6691.119924915081,4498.318298906838,0.0,0.0,135431174966.60074,0.0
245,1786226.5498295347,6682.434003761814,4489.007708952442,0.0,0.0,134712600901.28964,0.0
246,1793536.7508313484,6673.748082608545,4479.697118998047,0.0,0.0,133993251655.01785,0.0
247,1800846.951833162,6665.062161455277,4470.3865290436515,0.0,0.0,133273164148.49362,0.0
248,1808157.1528349756,6656.37624030201,4461.075939089255,0.0,0.0,132552375834.17743,0.0
249,1815467.3538367893,6647.690319148742,4451.76534913486,0.0,0.0,131830924450.88509,0.0
250,1822777.554838603,6639.0043979954735,4442.454759180464,0.0,0.0,131108848030.68576,0.0
251,1830087.7558404165,6630.318476842206,4433.144169226069,0.0,0.0,130386183925.10864,0.0
252,1837397.9568422302,6621.632555688939,4423.833579271673,0.0,0.0,129662971444.74365,0.0
253,1844708.1578440438,6612.8272788741015,4414.4142915157345,0.0,0.0,128939249224.94923,0.0
254,1852018.3588458574,6603.850439272392,4404.838760666555,0.0,0.0,128215055548.70392,0.0
255,1859328.5598476706,6594.873599670682,4395.263229817375,0.0,0.0,127490430769.67851,0.003210203717434929
256,1866638.7608494842,6585.896760068972,4385.687698968194,0.0,0.0,126765415853.24341,0.010681274384483103
257,1873948.9618512979,6576.919920467262,4376.112168119014,0.0,0.0,126040052268.31793,0.018152345051531273
258,1881259.1628531115,6567.9430808655525,4366.536637269834,0.0,0.0,125314383609.59743,0.025623415718579443
